id,Hacked application,Have you succeeded in attacking the application?,Total time in minutes spent for the task,I spent the following time in minutes using a IDE:,I spent the following time in minutes using a debugger:,I spent the following time in minutes searching on the Internet:,The task was clear to me,There was enough time to perform the task,The task was easy to perform,I have used the following IDE:,I have used the following debugger:,I have spent most of the time:,assigned,edited by,discarded,Have you succeeded in attacking the application?.1,Step 1: type,"Step 1: asset name (function, variable, etc)",Step 2: type,"Step 2: asset name (function, variable, etc)",Step 3: type,"Step 3: asset name (function, variable, etc)",Step 4: type,"Step 4: asset name (function, variable, etc)",Step 5: type,"Step 5: asset name (function, variable, etc)",Step 6: type,"Step 6: asset name (function, variable, etc)",Step 7: type,"Step 7: asset name (function, variable, etc)",Step 8: type,"Step 8: asset name (function, variable, etc)",Step 9: type,"Step 9: asset name (function, variable, etc)",Step 10: type,"Step 10: asset name (function, variable, etc)",Step 11: type,"Step 11: asset name (function, variable, etc)",Step 12: type,"Step 12: asset name (function, variable, etc)",Step 13: type,"Step 13: asset name (function, variable, etc)",Step 14: type,"Step 14: asset name (function, variable, etc)",Step 15: type,"Step 15: asset name (function, variable, etc)",Step 16: type,"Step 16: asset name (function, variable, etc)",Step 17: type,"Step 17: asset name (function, variable, etc)",Step 18: type,"Step 18: asset name (function, variable, etc)",Step 19: type,"Step 19: asset name (function, variable, etc)",Step 20: type,"Step 20: asset name (function, variable, etc)"
78,arithmetic-1.1.zip,No,40,25,15,0,3,2,3,Visual Studio Code,gdb,Reading and understanding the source code,AS,AS,Yes,No,identify output generation,problem(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,arithmetic-1.1.zip,No,40,15,25,0,5,3,3,codeblocks,gdb,Inspecting the execution by means of the debugger,AS,AS,Yes,No,identify output generation,nright++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,arithmetic-1.1.zip,No,40,5,0,35,5,5,4,devC,devC Debugger,Reading and understanding the source code,AS,AS,Yes,No,prepare the environment,$(BIN): $(OBJ),,,understand code logic,,build workaround,,bypass protection,,choose path of least resistance,,choose/evaluate alternative tool,,circumvent protection,,confirm hypothesis,,control flow graph reconstruction,,defeat protection,,evaluate and select alternative step / revise attack strategy,,identify API calls,,identify assets by naming scheme,,identify output generation,,identify points of attack,,limit scope of attack,,make hypothesis,,make hypothesis on protection,,make hypothesis on reasons for attack failure,
113,tictactoe-1.1.zip,No,30,20,10,0,2,3,3,,gdb,Reading and understanding the source code,AL,AL,yes,No,identify points of attack,get_player_move,identify API calls,tictactoe.h,make hypothesis,get_computer_move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,arithmetic-1.1.zip,No,40,20,20,0,3,5,3,code block,gcc,Reading and understanding the source code,AL,AL,yes,No,tamper with data,,understand code logic,convert function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,arithmetic-1.1.zip,Yes,35,30,5,0,1,2,3,code blocks,"gcc, integrated",Reading and understanding the source code,AD,AD,yes,Yes,recognize anomalous / unexpected behavior,,analyse attack result,problem,make hypothesis,result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,arithmetic-1.1.zip,No,40,10,30,0,3,4,4,DEV-C++,DEV-C++ debugger,Changing the execution by means of the debugger,AM,AM,yes,No,build workaround,scanf,circumvent protection,function problem(void),control flow graph reconstruction,variabili left e right,tamper with code statically,Variabile tmp___2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,arithmetic-1.1.zip,Yes,37,4,33,0,1,1,2,codeblocks,gdb,Inspecting the execution by means of the debugger,AM,AM,yes,Yes,identify output generation,functions inspected: main() and problem(),make hypothesis,,recognize anomalous / unexpected behavior,,analyse attack result,execution of main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,arithmetic-1.1.zip,No,25,15,10,0,1,4,4,CLion,lldb,Reading and understanding the source code,AM,AM,yes,No,understand code logic,"left, right, result variables",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,tictactoe-1.1.zip,No,40,20,20,0,1,3,3,CLion,Cygwin,Inspecting the execution by means of the debugger,DL,DL,Yes,No,prepare the environment,,analyse attack result,,understand code logic,,identify points of attack,,identify output generation,,make hypothesis,"Function ""char check(void)""",build the attack strategy,,tamper with code statically,"Function ""char check(void)""",analyse attack result,,tamper with data,,analyse attack result,,,,,,,,,,,,,,,,,,,
8,number-1.1.zip,Yes,40,10,25,5,4,3,4,CodeBlocks,gdb,Inspecting the execution by means of the debugger,DL,DL,Yes,Yes,recognize anomalous / unexpected behavior,general application output,understand code logic,,make hypothesis,,identify output generation,"line, len, rval",build the attack strategy,,tamper with code statically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,arithmetic-1.1.zip,Yes,40,10,30,0,4,4,4,Xcode,Xcode debugger,Inspecting the execution by means of the debugger,DS,DS,Yes,Yes,build the attack strategy,,identify points of attack,,recognize anomalous / unexpected behavior,,make hypothesis,,tamper with execution,if in 'problem' function,confirm hypothesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,number-1.1.zip,No,40,5,15,20,1,3,3,CodeBlocks,GDB,Inspecting the execution by means of the debugger,DS,DS,Yes,No,understand code logic,convert(),identify output generation,*p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,arithmetic-1.1.zip,Yes,25,20,5,0,1,1,1,CLion,MinGW,Reading and understanding the source code,DS,DS,Yes,Yes,prepare the environment,,understand code logic,,assess effort,,evaluate and select alternative step / revise attack strategy,,identify output generation,,identify points of attack,,limit scope of attack,,build workaround,,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,
81,number-1.1.zip,Yes,23,8,15,0,1,1,1,Microsoft Visual Studio,Microsoft Visual Studio,Inspecting the execution by means of the debugger,DS,DS,Yes,Yes,prepare the environment,,understand code logic,main,identify output generation,,recognize anomalous / unexpected behavior,,understand code logic,convert,understand code logic,number,identify points of attack,,evaluate and select alternative step / revise attack strategy,,analyse attack result,,tamper with data,,tamper with code statically,,,,,,,,,,,,,,,,,,,
62,number-1.1.zip,Yes,40,25,15,0,2,2,5,CLion,integrato,Inspecting the execution by means of the debugger,DM,DM,Yes,Yes,control flow graph reconstruction,"main, number, convert",identify output generation,"main, convert",make hypothesis,unit,evaluate and select alternative step / revise attack strategy,unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,tictactoe-1.1.zip,No,40,5,35,0,1,3,3,CLion,integrato,Inspecting the execution by means of the debugger,DM,DM,Yes,No,circumvent protection,char check(void),circumvent protection,done variable,analyse attack result,disp_matrix(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,arithmetic-1.1.zip,Yes,35,20,15,0,5,4,3,CodeBlocks,gdb,Reading and understanding the source code,LS,LS,Yes,Yes,control flow graph reconstruction,main,understand code logic,problem,identify output generation,printf,recognize anomalous / unexpected behavior,result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,tictactoe-1.1.zip,Yes,20,10,10,0,4,4,4,CLion,,Inspecting the execution by means of the debugger,LS,LS,Yes,Yes,recognize anomalous / unexpected behavior,function check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,arithmetic-1.1.zip,No,40,10,30,0,3,4,2,Eclipse IDE,gdb,Inspecting the execution by means of the debugger,LS,LS,Yes,No,understand code logic,,prepare the environment,,choose/evaluate alternative tool,,identify API calls,,identify output generation,,make hypothesis,problem,make hypothesis,opnum,make hypothesis,penalise,control flow graph reconstruction,,evaluate and select alternative step / revise attack strategy,,identify output generation,,recognize anomalous / unexpected behavior,,,,,,,,,,,,,,,,,
47,tictactoe-1.1.zip,Yes,35,25,10,0,3,2,2,CodeBlocks,gdb,Inspecting the execution by means of the debugger,LS,LS,Yes,Yes,control flow graph reconstruction,,identify output generation,,identify assets by naming scheme,"check,get_playet_move,get_computer_move",identify points of attack,"check,get_playet_move,get_computer_move",make hypothesis,,make hypothesis on protection,,recognize anomalous / unexpected behavior,from function check(),identify API calls,,bypass protection,,build the attack strategy,,overcome protection,,,,,,,,,,,,,,,,,,,
100,arithmetic-1.1.zip,No,35,25,10,0,2,2,3,CodeBlocks,gdb,Inspecting the execution by means of the debugger,LS,LS,Yes,No,identify API calls,problem,identify output generation,problem,make hypothesis,,tamper with execution,tmp___3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,arithmetic-1.1.zip,No,40,10,30,0,3,4,4,CLion,Integrato,Inspecting the execution by means of the debugger,LM,LM,Yes,No,build the attack strategy,,identify output generation,"Value of rigth, left, op, result",identify points of attack," problem(), encoder()",circumvent protection,"Value of left, result, rigth, op.",analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,arithmetic-1.1.zip,No,40,5,35,0,2,4,3,devc++,,Reading and understanding the source code,LM,LM,Yes,No,identify output generation,function,identify points of attack,variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,number-1.1.zip,No,40,30,10,0,3,4,4,CodeBlocks,gcc debugger,Reading and understanding the source code,LM,LM,Yes,No,understand code logic,tmp,understand code logic, void convert(char *line) ,make hypothesis,encoder,recognize anomalous / unexpected behavior,,identify points of attack,,evaluate and select alternative step / revise attack strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
