id,Hacked application,Total time in minutes spent for the task,I spent the following time in minutes using a IDE:,I spent the following time in minutes using a debugger:,I spent the following time in minutes searching on the Internet:,The task was clear to me,There was enough time to perform the task,The task was easy to perform,I have used the following IDE:,I have used the following debugger:,I have spent most of the time:,assigned,edited by,discarded,Have you succeeded in attacking the application?,Step 1: type,"Step 1: asset name (function, variable, etc)",Step 2: type,"Step 2: asset name (function, variable, etc)",Step 3: type,"Step 3: asset name (function, variable, etc)",Step 4: type,"Step 4: asset name (function, variable, etc)",Step 5: type,"Step 5: asset name (function, variable, etc)",Step 6: type,"Step 6: asset name (function, variable, etc)",Step 7: type,"Step 7: asset name (function, variable, etc)",Step 8: type,"Step 8: asset name (function, variable, etc)",Step 9: type,"Step 9: asset name (function, variable, etc)",Step 10: type,"Step 10: asset name (function, variable, etc)",Step 11: type,"Step 11: asset name (function, variable, etc)",Step 12: type,"Step 12: asset name (function, variable, etc)",Step 13: type,"Step 13: asset name (function, variable, etc)",Step 14: type,"Step 14: asset name (function, variable, etc)",Step 15: type,"Step 15: asset name (function, variable, etc)",Step 16: type,"Step 16: asset name (function, variable, etc)",Step 17: type,"Step 17: asset name (function, variable, etc)",Step 18: type,"Step 18: asset name (function, variable, etc)",Step 19: type,"Step 19: asset name (function, variable, etc)",Step 20: type,"Step 20: asset name (function, variable, etc)"
34,arithmetic-3.3.zip,29,14,14,1,1,1,1,Jetbrians CLion,GDB inside IDE,Inspecting the execution by means of the debugger,AS,AS,Yes,Yes,understand code logic,,recognize anomalous / unexpected behavior,,control flow graph reconstruction,,identify points of attack,problem function,make hypothesis,tmp__3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,tictactoe-3.3.zip,65,13,52,0,1,2,2,Clion,clion,Changing the execution by means of the debugger,AS,AS,,No,recognize anomalous / unexpected behavior,,make hypothesis,"il comportamento anomalo dipende dal risultato della funzione check: se diverso da 32, viene manipolata matrice",tamper with execution,tictactoe.c,make hypothesis,,tamper with code statically,tictactoe.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,arithmetic-3.2.zip,70,20,45,5,2,1,3,Visual Studio Code,lldb,Inspecting the execution by means of the debugger,AS,AS,,Yes,understand code logic,,tamper with code statically,variable tmp,control flow graph reconstruction,,limit scope of attack,function problem(),identify output generation,,control flow graph reconstruction,,tamper with code statically,"if-expression, variable tmp",,,,,,,,,,,,,,,,,,,,,,,,,,
78,tictactoe-3.2.zip,65,15,50,0,1,1,2,VSCode con gcc,gdb su VSCode,Inspecting the execution by means of the debugger,AS,AS,,Yes,recognize anomalous / unexpected behavior,"check(), tmp, temp__0",tamper with code statically,"check, tmp tmp__0",prepare the environment,vscode con gbd,understand code logic,"check, tmp tmp__0",recognize anomalous / unexpected behavior,tictactoe.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,tictactoe-3.3.zip,35,15,20,0,1,1,2,dev-c++,gdb,Inspecting the execution by means of the debugger,AS,AS,,Yes,recognize anomalous / unexpected behavior,,prepare the environment,,tamper with code statically,function check,reuse attack strategy that worked in the past,,build the attack strategy,,bypass protection,,identify points of attack,,confirm hypothesis,,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,
15,tictactoe-3.2.zip,70,25,45,0,2,4,4,CLion,GDB,Inspecting the execution by means of the debugger,AS,AS,,No,prepare the environment,,recognize anomalous / unexpected behavior,,understand code logic,,limit scope of attack,,make hypothesis on protection,"get_player_move, disp_matrix, check, init_matrix, get_computer_move",understand code logic,"check, _3_check_next",build the attack strategy,check,tamper with code statically,temp___0,analyse attack result,temp___0,,,,,,,,,,,,,,,,,,,,,,
152,arithmetic-3.2.zip,70,30,40,0,2,3,3,Code::Blocks,GDB (integrato nell'IDE),Inspecting the execution by means of the debugger,AS,AS,,Yes,prepare the environment,,recognize anomalous / unexpected behavior,,make hypothesis,,build attack strategy,,control flow graph reconstruction,,limit scope of attack,problem(void),recognize similarity with already analysed protected application,,undo the protection,,understand code logic,,identify assets by naming scheme,operation,identify assets by naming scheme,right,identify assets by naming scheme,left,identify assets by naming scheme,result,identify points of attack,result,tamper with code statically,,analyse attack result,,,,,,,,,
134,arithmetic-3.4.zip,30,5,20,5,3,1,1,Visual Studio 2017,Visual Studio 2017,Inspecting the execution by means of the debugger,AS,AS,,Yes,recognize anomalous / unexpected behavior,problem,recognize similarity with already analysed protected application,problem,identify assets by naming scheme,result,understand code logic,result,make hypothesis,result,tamper with code statically,constant,analyse attack result,,confirm hypothesis,result,,,,,,,,,,,,,,,,,,,,,,,,
71,tictactoe-3.4.zip,70,35,35,0,1,2,5,codeblocks,,Inspecting the execution by means of the debugger,AS,AS,,No,control flow graph reconstruction,check(),identify output generation,check(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,tictactoe-3.3.zip,70,20,50,0,1,1,2,clion,clion debugger,Reading and understanding the source code,AS,AS,,Yes,prepare the environment,,understand code logic,,make hypothesis,check(),build the attack strategy,check(),tamper with code statically,,analyse attack result,check(),confirm hypothesis,check(),,,,,,,,,,,,,,,,,,,,,,,,,,
9,tictactoe-3.4.zip,40,10,30,0,2,1,4,CLion,GDB (integrato in Clion),Reading and understanding the source code,AS,AS,,Yes,prepare the environment,console output,recognize anomalous / unexpected behavior,,understand code logic,,make hypothesis on protection,matrix assignment,confirm hypothesis,check function,understand code logic,,tamper with code statically,matrix assignment in check function,analyse attack result,,,,,,,,,,,,,,,,,,,,,,,,,
106,arithmetic-3.4.zip,70,60,5,5,2,4,4,Visual Studio code,gdb,Reading and understanding the source code,AS,AS,,No,identify output generation,problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,tictactoe-3.4.zip,70,35,35,0,1,3,4,visual studio 2015,visual studio 2015,Inspecting the execution by means of the debugger,AS,AS,,No,recognize anomalous / unexpected behavior,main,understand code logic,,make hypothesis,check,tamper with code statically,check,analyse attack result,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,arithmetic-3.2.zip,30,15,15,0,5,1,3,CLion,Mingw-w64 GDB,Inspecting the execution by means of the debugger,AS,AS,Yes,Yes,understand code logic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,tictactoe-3.4.zip,70,5,50,15,3,2,2,CLion,CMake MinGW,Inspecting the execution by means of the debugger,AS,AS,,No,prepare the environment,Clion e MinGW ,understand code logic,,recognize anomalous / unexpected behavior,,identify API calls,stdin da comand line,identify output generation,printf,identify points of attack,,choose path of least resistance,,build the attack strategy,,reuse attack strategy that worked in the past,,limit scope of attack,get_computer_move(),control flow graph reconstruction,get_computer_move(),make hypothesis on protection,,tamper with code statically,,make hypothesis on reasons for attack failure,,analyse attack result,,,,,,,,,,,
94,tictactoe-3.4.zip,70,35,25,10,4,3,5,Clion,gdb,Inspecting the execution by means of the debugger,AS,AS,,No,recognize anomalous / unexpected behavior,printf(),identify output generation,"main(), done",tamper with data,done,understand code logic,check(),identify points of attack,check(),build workaround,check(),recognize anomalous / unexpected behavior,main(),,,,,,,,,,,,,,,,,,,,,,,,,,
